word,language,part_of_speech,category,meaning_en,meaning_ja,example
ako,ceb,pronoun,pronouns_personal,I / me,私,
ikaw,ceb,pronoun,pronouns_personal,you (singular),あなた,
ka,ceb,pronoun,pronouns_personal,you (short form),あなた（短縮形）,
siya,ceb,pronoun,pronouns_personal,he / she,彼・彼女,
kami,ceb,pronoun,pronouns_personal,we (exclusive),私たち（除外）,
kita,ceb,pronoun,pronouns_personal,we (inclusive),私たち（包括）,
kamo,ceb,pronoun,pronouns_personal,you (plural),あなたたち,
sila,ceb,pronoun,pronouns_personal,they,彼ら,
niya,ceb,pronoun,pronouns_personal,his / her,彼の・彼女の,
nako,ceb,pronoun,pronouns_personal,my / mine,私の,
nimo,ceb,pronoun,pronouns_personal,your,あなたの,
nila,ceb,pronoun,pronouns_personal,their,彼らの,
kanako,ceb,pronoun,pronouns_personal,to me / for me,私に,
kanimo,ceb,pronoun,pronouns_personal,to you,あなたに,
kaniya,ceb,pronoun,pronouns_personal,to him / to her,彼に・彼女に,
kini,ceb,pronoun,pronouns_demonst,this,これ,
kana,ceb,pronoun,pronouns_demonst,that,それ,
kadto,ceb,pronoun,pronouns_demonst,that (far),あれ,
dinhi,ceb,adverb,pronouns_demonst,here,ここ,
diha,ceb,adverb,pronouns_demonst,there,そこ,
didto,ceb,adverb,pronouns_demonst,over there,あそこ,
unsa,ceb,pronoun,question_words,what,何,
kinsa,ceb,pronoun,question_words,who,誰,
asa,ceb,pronoun,question_words,where,どこ,
kanus-a,ceb,pronoun,question_words,when,いつ,
ngano,ceb,pronoun,question_words,why,なぜ,
giunsa,ceb,pronoun,question_words,how,どうやって,
pila,ceb,pronoun,question_words,how much / how many,いくつ,
usa,ceb,numeral,numbers_1_10,one,一,
duha,ceb,numeral,numbers_1_10,two,二,
tulo,ceb,numeral,numbers_1_10,three,三,
upat,ceb,numeral,numbers_1_10,four,四,
lima,ceb,numeral,numbers_1_10,five,五,
unom,ceb,numeral,numbers_1_10,six,六,
pito,ceb,numeral,numbers_1_10,seven,七,
walo,ceb,numeral,numbers_1_10,eight,蜂,
siyam,ceb,numeral,numbers_1_10,nine,九,
napulo,ceb,numeral,numbers_1_10,ten,十,
napulog-usa,ceb,numeral,numbers_large,eleven,十一,
napulog-duha,ceb,numeral,numbers_large,twelve,十二,
napulog-tulo,ceb,numeral,numbers_large,thirteen,十三,
napulog-upat,ceb,numeral,numbers_large,fourteen,十四,
napulog-lima,ceb,numeral,numbers_large,fifteen,十五,
napulog-unom,ceb,numeral,numbers_large,sixteen,十六,
napulog-pito,ceb,numeral,numbers_large,seventeen,十七,
napulog-walo,ceb,numeral,numbers_large,eighteen,十八,
napulog-siyam,ceb,numeral,numbers_large,nineteen,十九,
kawhaan,ceb,numeral,numbers_large,twenty,二十,
katloan,ceb,numeral,numbers_large,thirty,三十,
kap-atan,ceb,numeral,numbers_large,forty,四十,
kalim-an,ceb,numeral,numbers_large,fifty,五十,
kan-uman,ceb,numeral,numbers_large,sixty,六十,
kapitoan,ceb,numeral,numbers_large,seventy,七十,
kawaloan,ceb,numeral,numbers_large,eighty,八十,
kasiyaman,ceb,numeral,numbers_large,ninety,九十,
usa ka gatus,ceb,numeral,numbers_large,one hundred,百,
duha ka gatus,ceb,numeral,numbers_large,two hundred,二百,
lima ka gatus,ceb,numeral,numbers_large,five hundred,五百,
usa ka libo,ceb,numeral,numbers_large,one thousand,千,
duha ka libo,ceb,numeral,numbers_large,two thousand,二千,
usa ka milyon,ceb,numeral,numbers_large,one million,百万,
una,ceb,numeral,numbers_ordinal,first,第一,
ikaduha,ceb,numeral,numbers_ordinal,second,第二,
ikatulo,ceb,numeral,numbers_ordinal,third,第三,
ikaupat,ceb,numeral,numbers_ordinal,fourth,第四,
ikalima,ceb,numeral,numbers_ordinal,fifth,第五,
ikaunom,ceb,numeral,numbers_ordinal,sixth,第六,
ikapito,ceb,numeral,numbers_ordinal,seventh,第七,
ikawalo,ceb,numeral,numbers_ordinal,eighth,第八,
ikasiyam,ceb,numeral,numbers_ordinal,ninth,第九,
ikanapulo,ceb,numeral,numbers_ordinal,tenth,第十,
katunga,ceb,numeral,quantities_measures,half,半分,
ikatulo ka bahin,ceb,numeral,quantities_measures,one third,三分の一,
porsyento,ceb,noun,quantities_measures,percent,パーセント,
metro,ceb,noun,quantities_measures,meter,メートル,
sentimetro,ceb,noun,quantities_measures,centimeter,センチメートル,
kilometro,ceb,noun,quantities_measures,kilometer,キロメートル,
kilo,ceb,noun,quantities_measures,kilogram,キログラム,
gramo,ceb,noun,quantities_measures,gram,グラム,
litro,ceb,noun,quantities_measures,liter,リットル,
dosena,ceb,noun,quantities_measures,dozen,ダース,
pares,ceb,noun,quantities_measures,pair,ペア,
grupo,ceb,noun,quantities_measures,group,グループ,
bahin,ceb,noun,quantities_measures,part / portion,部分,
tanan,ceb,adjective,quantities_measures,all / everything,全て,
pipila,ceb,adjective,quantities_measures,some / few,少し,
daghan,ceb,adjective,quantities_measures,many / a lot,多い,
numero,ceb,noun,numbers_large,number,数・番号,
amahan,ceb,noun,family_core,father,父・お父さん,
inahan,ceb,noun,family_core,mother,母・お母さん,
anak,ceb,noun,family_core,child,子供,
bana,ceb,noun,family_core,husband,夫・旦那,
asawa,ceb,noun,family_core,wife / spouse,妻・配偶者,
pamilya,ceb,noun,family_core,family,家族,
lalaki,ceb,noun,family_core,boy / man,男,
